prompt_injection_score,unverified_refund_ratio,merchant_dispute_anomaly,amount_deviation,channel_risk,device_risk,is_fraud,variant_id
0.06837786679378882,0.15066629014642063,0.15663670141769342,0.13865314239931228,0.08342508661423866,0.3541815358771358,0,LEGIT
0.32107492344206545,0.26870999667323753,0.6289630470881176,0.7046792105799643,0.7718617178409345,0.3252213202637234,1,MRF-V2
0.3423788616464372,0.09938199535883502,0.23725797472347404,0.28139131775519044,0.06499666968388404,0.3391309506231552,0,LEGIT
0.29039948697999884,0.1995309711003859,0.21859156679365507,0.09936668879137804,0.33590521965936904,0.18266991531053814,0,LEGIT
0.308934756609366,0.7580727278082785,0.9415050247174005,0.8747799071132972,0.8430194815898586,0.7389144233221774,1,MRF-V2
0.29290358295057956,0.10671657569765888,0.3261675835256785,0.07134047855271296,0.24758961161290743,0.13746380074861592,0,LEGIT
0.08429154466729535,0.37291639320287306,0.7453508918623943,0.43316578145476925,0.29175084969661985,0.11318006509814975,0,LEGIT
0.04077069074756735,0.027158525605622194,0.06357637596337129,0.3303887212968324,0.16291538970850225,0.013152627692333347,0,LEGIT
0.14008087168854358,0.08183471359260967,0.45827315767207105,0.30915785203775575,0.06952780220033085,0.13456326300667476,0,LEGIT
0.01583529427644282,0.06464191430379694,0.43895582712862363,0.12708244248791958,0.3605128354854793,0.1864693050301729,0,LEGIT
0.8646967294766514,0.7572519909421621,0.676641902483247,0.367775385864268,0.6319011039925894,0.6962589782007046,1,MRF-V1
0.08963211661906027,0.09469272720770294,0.16596204482483973,0.5522031565344127,0.3304297153469445,0.14433040982852594,0,LEGIT
0.16646262904672998,0.1612492545591007,0.17478972432998635,0.12497292599862503,0.4239334755378027,0.2810362808789331,0,LEGIT
0.05936988694247881,0.1646340923217228,0.30226577471675675,0.5624978272832427,0.04899178072455467,0.051524236777058086,0,LEGIT
0.06666802265493396,0.09860850412099136,0.15635957408885245,0.09013400272129442,0.16387200511351238,0.12256467677166949,0,LEGIT
0.39759313553784964,0.06176364903824346,0.2565374187458528,0.42521917273347604,0.17297638950108482,0.09321131902611386,0,LEGIT
0.40749319222031744,0.5593646661861705,0.7138034635559852,0.3799693485815129,0.6757564673050062,0.8336641846797883,1,MRF-V1
0.893465104459148,0.7750892854746938,0.3696546290456353,0.5347968173215828,0.8668930888082328,0.3527876418950901,1,MRF-V1
