TransactionID,isFraud,TransactionDT,TransactionAmt,ProductCD,card2,card3,card4,card5,card6,addr1,addr2,dist1,P_emaildomain,R_emaildomain,C1,C2,C5,C6,C13,C14,D1,D3,D4,D10,D15,M4,M5,M6,id_01,id_02,id_05,id_06,id_11,id_15,id_16,id_28,id_29,id_30,id_31,id_33,id_35,id_36,id_37,id_38,DeviceType,DeviceInfo,has_identity,card1,is_synthetic,attack_id,variant_id
3280583,1,7247755,1243.0,C,143.0,150.0,visa,226.0,debit,348.0,87.0,1802.0,sc.rr.com,,1.0,1.0,0.0,0.0,2.0,1.0,5.0,5.0,,5.0,5.0,M0,F,T,,,,,,,,,,,,,,,,,desktop,SAMSUNG-SM-G870A Build/MMB29M,False,6870,True,ATO-001,ATO-V1
3280583,1,7248051,1243.0,C,143.0,150.0,visa,226.0,debit,348.0,87.0,1802.0,sc.rr.com,,1.0,1.0,0.0,0.0,2.0,1.0,5.0,5.0,,5.0,5.0,M0,F,T,,,,,,,,,,,,,,,,,desktop,SAMSUNG-SM-G870A Build/MMB29M,False,6870,True,ATO-001,ATO-V1
3280583,1,7248348,1243.0,C,143.0,150.0,visa,226.0,debit,348.0,87.0,1802.0,sc.rr.com,,1.0,1.0,0.0,0.0,2.0,1.0,5.0,5.0,,5.0,5.0,M0,F,T,,,,,,,,,,,,,,,,,desktop,SAMSUNG-SM-G870A Build/MMB29M,False,6870,True,ATO-001,ATO-V1
3213945,1,5358093,687.5,W,555.0,150.0,visa,226.0,credit,335.0,87.0,738.0,cfl.rr.com,charter.net,1.0,1.0,0.0,2.0,2.0,1.0,363.0,362.0,0.0,362.0,362.0,,,,-5.0,159267.0,0.0,0.0,100.0,New,NotFound,New,NotFound,Windows 7,chrome 63.0,1280x1024,T,F,T,F,mobile,Pixel Build/OPR3.170623.013,True,3249,True,ATO-001,ATO-V1
3213945,1,5358389,687.5,W,555.0,150.0,visa,226.0,credit,335.0,87.0,738.0,cfl.rr.com,charter.net,1.0,1.0,0.0,2.0,2.0,1.0,363.0,362.0,0.0,362.0,362.0,,,,-5.0,159267.0,0.0,0.0,100.0,New,NotFound,New,NotFound,Windows 7,chrome 63.0,1280x1024,T,F,T,F,mobile,Pixel Build/OPR3.170623.013,True,3249,True,ATO-001,ATO-V1
3213945,1,5358686,687.5,W,555.0,150.0,visa,226.0,credit,335.0,87.0,738.0,cfl.rr.com,charter.net,1.0,1.0,0.0,2.0,2.0,1.0,363.0,362.0,0.0,362.0,362.0,,,,-5.0,159267.0,0.0,0.0,100.0,New,NotFound,New,NotFound,Windows 7,chrome 63.0,1280x1024,T,F,T,F,mobile,Pixel Build/OPR3.170623.013,True,3249,True,ATO-001,ATO-V1
3086345,1,1994540,515.625,S,399.0,150.0,american express,104.0,credit,120.0,87.0,856.0,earthlink.net,anonymous.com,1.0,1.0,0.0,1.0,1.0,1.0,0.0,,,,,,,,-5.0,195014.0,0.0,-5.0,100.0,Found,Found,Found,Found,Windows 10,edge 16.0,,T,F,T,T,desktop,Hisense F8 MINI Build/NRD90M,True,4495,True,ATO-001,ATO-V1
3086345,1,1994836,515.625,S,399.0,150.0,american express,104.0,credit,120.0,87.0,856.0,earthlink.net,anonymous.com,1.0,1.0,0.0,1.0,1.0,1.0,0.0,,,,,,,,-5.0,195014.0,0.0,-5.0,100.0,Found,Found,Found,Found,Windows 10,edge 16.0,,T,F,T,T,desktop,Hisense F8 MINI Build/NRD90M,True,4495,True,ATO-001,ATO-V1
3086345,1,1995133,515.625,S,399.0,150.0,american express,104.0,credit,120.0,87.0,856.0,earthlink.net,anonymous.com,1.0,1.0,0.0,1.0,1.0,1.0,0.0,,,,,,,,-5.0,195014.0,0.0,-5.0,100.0,Found,Found,Found,Found,Windows 10,edge 16.0,,T,F,T,T,desktop,Hisense F8 MINI Build/NRD90M,True,4495,True,ATO-001,ATO-V1
3420698,1,10964230,733.3333333333334,C,583.0,150.0,visa,195.0,credit,443.0,87.0,871.0,sbcglobal.net,anonymous.com,1.0,1.0,0.0,1.0,1.0,1.0,0.0,,,,,,,,-5.0,226926.0,0.0,0.0,100.0,Found,Found,Found,Found,Mac OS X 10_13_4,safari generic,1920x1080,T,F,T,F,mobile,SM-G930U Build/NRD90M,True,9165,True,ATO-001,ATO-V1
